model_name,developer_company,release_year,model_version,model_description,primary_use_case,supports_multilingual,supports_code_generation,supports_reasoning,supports_chat,access_type,license_type,commercial_use_allowed,training_scale,estimated_parameters,compute_intensity,model_category
Nova-5,Meta AI,2019,v4.0,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,1,Closed,Commercial,0,Small,13704747,High,Open-Source
Helios-6,DeepMind,2019,v3.5,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,0,Closed,Research,1,Small,59198175,High,Research
Zenith-6,Cohere,2019,v4.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,0,1,Open,Open,0,Medium,232551028,Low,Enterprise
Zenith-6,Google AI,2022,v5.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,1,API,Research,0,Medium,204552071,High,Open-Source
Atlas-5,Cohere,2018,v3.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,1,1,Closed,Commercial,0,Large,255039896,High,Open-Source
Neptune-5,AI Labs,2023,v1.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,0,0,Open,Research,0,Medium,40099358,Medium,Research
Nimbus-4,Cohere,2025,v4.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,1,Open,Research,1,Small,134787304,Low,Enterprise
Atlas-8,AI Labs,2023,v4.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,1,Closed,Commercial,0,Large,149880396,High,Enterprise
Nova-5,Mistral AI,2019,v3.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,0,Open,Research,0,Medium,83036700,High,Enterprise
Neptune-7,Cohere,2023,v5.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,0,1,Closed,Open,0,Large,205215510,Medium,Research
Zenith-5,Cohere,2024,v5.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,0,1,Closed,Commercial,0,Medium,181458173,High,Research
Helios-3,Mistral AI,2020,v5.8,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,0,0,API,Commercial,0,Medium,98565028,Low,Open-Source
Helios-6,Anthropic,2025,v3.5,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,1,Open,Commercial,0,Large,290598399,Low,Enterprise
Nova-2,OpenAI,2018,v2.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,0,Closed,Open,0,Large,118018823,Medium,Enterprise
Orion-6,Meta AI,2019,v2.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,1,Closed,Open,0,Small,131378770,Low,Open-Source
Orion-2,NeuralWorks,2018,v3.8,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,1,Open,Commercial,1,Small,233746102,Medium,Open-Source
Cosmos-3,Cohere,2020,v5.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,1,Closed,Research,0,Medium,243022481,Low,Open-Source
Nimbus-7,Baidu,2018,v4.5,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,0,1,Closed,Commercial,1,Large,149320562,High,Enterprise
Vertex-4,Google AI,2021,v4.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,1,1,Open,Research,1,Small,218111200,High,Research
Orion-6,Mistral AI,2023,v4.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,1,Closed,Commercial,0,Small,104392904,Medium,Research
Vertex-3,Anthropic,2021,v4.4,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,0,1,Open,Commercial,0,Medium,8595844,High,Research
Atlas-5,OpenAI,2018,v5.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,0,0,API,Commercial,1,Medium,237474887,Medium,Open-Source
Aurora-5,Mistral AI,2019,v1.6,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,0,0,Open,Open,1,Small,134246504,Low,Research
Helios-4,AI Labs,2024,v4.7,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,0,API,Open,0,Small,114293290,Medium,Open-Source
Neptune-3,Anthropic,2020,v5.1,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,1,API,Open,1,Medium,18523391,Low,Open-Source
Orion-8,Google AI,2021,v3.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,0,0,API,Research,1,Small,39337865,Low,Enterprise
Orion-5,Mistral AI,2019,v4.4,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,1,Open,Open,0,Medium,174045080,High,Research
Aurora-2,Anthropic,2018,v3.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,1,1,Closed,Research,1,Large,264993279,Low,Enterprise
Zenith-7,Baidu,2023,v1.2,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,1,API,Commercial,0,Medium,48276740,Medium,Enterprise
Zenith-2,Cohere,2018,v5.7,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,API,Commercial,1,Small,110284498,Medium,Enterprise
Atlas-5,Mistral AI,2025,v1.0,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,0,API,Commercial,0,Small,61913975,Medium,Open-Source
Atlas-8,DeepMind,2022,v4.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,1,0,Closed,Research,0,Small,149309195,Medium,Research
Vertex-5,OpenAI,2022,v3.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,1,1,Closed,Commercial,1,Medium,173752899,Low,Enterprise
Nova-7,Anthropic,2024,v1.5,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,0,Closed,Research,0,Large,179238298,Low,Open-Source
Neptune-9,Mistral AI,2018,v2.6,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,1,1,Closed,Open,1,Large,44118958,Medium,Enterprise
Vertex-7,Baidu,2025,v5.0,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,0,API,Research,1,Small,54959413,Medium,Open-Source
Orion-1,OpenAI,2023,v1.4,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,0,Open,Open,1,Large,97667306,Low,Research
Neptune-7,NeuralWorks,2021,v4.9,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,1,1,Closed,Commercial,0,Medium,155421073,High,Research
Atlas-2,Mistral AI,2023,v5.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,1,Open,Commercial,1,Small,128348842,Medium,Open-Source
Zenith-5,DeepMind,2018,v4.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,1,Open,Open,1,Small,103076335,High,Open-Source
Atlas-2,OpenAI,2022,v4.0,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,Closed,Open,1,Small,108800886,Low,Enterprise
Zenith-9,AI Labs,2022,v2.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,0,Closed,Research,0,Small,214358670,High,Open-Source
Neptune-7,OpenAI,2022,v5.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,1,API,Commercial,0,Large,126532179,Medium,Enterprise
Nimbus-9,Baidu,2021,v1.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,0,Open,Research,1,Medium,63341708,Low,Research
Vertex-3,Cohere,2025,v3.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,1,0,Closed,Open,1,Medium,18564422,High,Research
Nova-8,Mistral AI,2021,v3.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,1,Closed,Research,0,Medium,50216793,High,Enterprise
Nimbus-1,OpenAI,2023,v2.2,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,0,Open,Commercial,0,Large,2522324,Medium,Research
Atlas-9,DeepMind,2020,v1.0,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,1,0,API,Commercial,0,Small,143468098,Low,Research
Helios-9,Google AI,2019,v4.7,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,1,0,API,Research,1,Medium,17723872,Low,Research
Helios-7,Google AI,2025,v4.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,0,0,Open,Commercial,1,Medium,285840532,Medium,Enterprise
Vertex-7,Google AI,2019,v5.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,1,Closed,Commercial,1,Medium,52048821,Medium,Enterprise
Zenith-5,Baidu,2020,v4.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,1,Open,Open,1,Small,299699264,Low,Enterprise
Vertex-9,Baidu,2019,v4.5,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,1,Closed,Research,0,Small,259873463,Low,Open-Source
Zenith-9,Baidu,2019,v3.9,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,0,1,Open,Research,1,Large,166884888,Medium,Research
Aurora-3,Meta AI,2024,v1.2,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,1,Closed,Commercial,1,Small,199670740,Medium,Enterprise
Zenith-2,OpenAI,2020,v2.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,1,API,Commercial,1,Large,238320664,Medium,Open-Source
Nova-9,Google AI,2023,v4.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,0,Open,Commercial,0,Small,110748830,Medium,Enterprise
Atlas-5,DeepMind,2023,v1.0,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,0,Closed,Open,0,Large,191142053,Low,Research
Aurora-7,OpenAI,2025,v1.5,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,1,Open,Commercial,0,Medium,93273711,High,Enterprise
Zenith-2,Cohere,2019,v2.6,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,1,1,API,Commercial,0,Medium,91265563,Low,Enterprise
Neptune-9,AI Labs,2021,v3.5,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,0,0,Closed,Research,0,Large,83071341,High,Open-Source
Atlas-8,Mistral AI,2025,v5.9,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,1,Open,Commercial,1,Large,163575482,Medium,Research
Aurora-6,AI Labs,2019,v3.7,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,1,Closed,Research,0,Large,273229962,Medium,Open-Source
Nimbus-9,OpenAI,2025,v5.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,0,Closed,Research,1,Large,46273856,High,Enterprise
Atlas-1,Anthropic,2025,v4.8,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,1,1,Closed,Commercial,1,Large,29113521,High,Open-Source
Zenith-2,Baidu,2019,v5.6,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,1,Open,Open,0,Medium,167554393,High,Open-Source
Helios-3,NeuralWorks,2019,v3.8,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,0,API,Open,1,Large,195254981,Low,Open-Source
Orion-3,Anthropic,2023,v4.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,0,0,Closed,Research,0,Large,181798994,High,Enterprise
Nimbus-7,Meta AI,2020,v2.9,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,0,1,Closed,Open,0,Medium,153969517,High,Research
Nova-9,Anthropic,2022,v4.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,1,Closed,Open,1,Small,108211903,High,Enterprise
Orion-1,Mistral AI,2023,v5.1,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,0,0,Closed,Commercial,0,Medium,50238347,Low,Research
Zenith-1,Cohere,2018,v4.8,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,1,0,Closed,Research,0,Medium,54194847,High,Enterprise
Zenith-3,Meta AI,2018,v3.7,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,1,0,Open,Research,1,Small,81272735,High,Open-Source
Nimbus-9,Cohere,2019,v3.3,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,0,Closed,Open,1,Small,60516376,Medium,Open-Source
Vertex-1,AI Labs,2021,v2.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,0,API,Commercial,0,Large,46963641,High,Open-Source
Neptune-9,AI Labs,2018,v4.7,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,1,1,API,Research,1,Small,186114431,Low,Enterprise
Neptune-6,Meta AI,2018,v3.8,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,1,API,Research,0,Small,246714852,Low,Open-Source
Nova-1,Anthropic,2018,v3.4,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,0,API,Research,1,Medium,26664592,High,Enterprise
Orion-2,Baidu,2024,v4.7,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,1,API,Commercial,1,Large,144194581,Low,Enterprise
Helios-2,Cohere,2020,v5.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,1,API,Commercial,1,Medium,229769325,Low,Open-Source
Cosmos-6,Mistral AI,2018,v3.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,0,API,Open,1,Medium,276460958,High,Open-Source
Atlas-1,Meta AI,2025,v1.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,1,1,Closed,Open,0,Large,83376487,High,Open-Source
Zenith-6,Mistral AI,2019,v5.2,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,1,Open,Research,0,Large,100883784,Medium,Enterprise
Helios-9,Google AI,2022,v3.7,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,1,0,Open,Research,0,Medium,93694177,High,Open-Source
Neptune-6,Baidu,2019,v5.8,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,0,Closed,Open,0,Small,108900513,Low,Enterprise
Cosmos-1,Baidu,2023,v4.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,0,1,Closed,Open,1,Large,221543950,Medium,Research
Neptune-3,Baidu,2019,v4.7,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,0,Closed,Open,0,Small,279153965,Low,Open-Source
Atlas-3,Baidu,2021,v3.8,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,1,0,API,Open,1,Small,163577720,High,Enterprise
Neptune-9,Meta AI,2020,v2.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,0,Open,Open,1,Large,114176887,High,Open-Source
Nimbus-1,Mistral AI,2022,v3.7,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,1,1,Open,Open,0,Small,237011405,Medium,Enterprise
Cosmos-4,Baidu,2020,v3.5,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,1,API,Open,0,Medium,130782027,Medium,Enterprise
Orion-8,Anthropic,2020,v1.0,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,0,Open,Commercial,1,Small,86546307,Medium,Research
Cosmos-8,DeepMind,2025,v1.1,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,0,API,Commercial,0,Small,152052032,Medium,Open-Source
Cosmos-5,AI Labs,2018,v1.6,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,1,1,Closed,Research,1,Small,105504769,Medium,Open-Source
Orion-2,Cohere,2025,v5.4,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,0,1,Closed,Commercial,1,Small,107868386,High,Open-Source
Helios-9,OpenAI,2018,v1.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,0,API,Open,0,Medium,172009508,Low,Open-Source
Nimbus-5,NeuralWorks,2023,v5.8,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,1,0,Closed,Commercial,0,Medium,166183278,High,Enterprise
Aurora-8,DeepMind,2021,v1.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,0,API,Research,0,Large,59999709,Low,Open-Source
Cosmos-6,Cohere,2020,v4.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,0,API,Research,1,Large,257823466,High,Research
Zenith-3,Mistral AI,2023,v5.5,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,0,Closed,Open,1,Small,160780600,Medium,Enterprise
Nova-8,Baidu,2025,v3.8,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,1,Closed,Commercial,0,Medium,23584272,Medium,Open-Source
Neptune-6,Mistral AI,2022,v4.3,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,1,0,Open,Open,0,Small,28254480,High,Open-Source
Nova-4,OpenAI,2019,v4.5,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,0,API,Research,1,Large,256389300,Medium,Open-Source
Nova-5,Baidu,2022,v1.1,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,0,1,Open,Research,1,Medium,101025292,High,Open-Source
Aurora-1,DeepMind,2019,v3.4,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,1,Closed,Research,0,Medium,88238441,High,Enterprise
Orion-3,OpenAI,2023,v3.9,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,1,1,API,Commercial,0,Medium,52209488,Low,Enterprise
Cosmos-6,Anthropic,2018,v3.6,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,1,1,Closed,Open,0,Medium,194033058,High,Research
Aurora-2,Mistral AI,2022,v2.6,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,1,1,API,Research,0,Small,257721952,Low,Research
Nimbus-6,Cohere,2025,v5.3,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,1,1,Open,Open,0,Small,295016950,High,Enterprise
Nimbus-9,Meta AI,2020,v3.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,0,1,Open,Open,1,Small,244434614,Low,Research
Helios-8,NeuralWorks,2018,v5.7,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,1,Open,Open,0,Large,40207429,Low,Open-Source
Zenith-2,AI Labs,2018,v1.7,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,1,0,Open,Open,1,Medium,206342182,Medium,Enterprise
Helios-2,AI Labs,2020,v3.1,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,0,0,Open,Research,1,Medium,293296866,Medium,Enterprise
Helios-4,Anthropic,2025,v3.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,0,API,Commercial,0,Small,111639229,Low,Open-Source
Nimbus-1,Mistral AI,2018,v2.0,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,0,Open,Research,1,Small,172210116,High,Research
Zenith-4,DeepMind,2020,v5.3,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,0,API,Open,0,Large,230351566,High,Open-Source
Aurora-6,Cohere,2023,v4.6,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,1,0,API,Commercial,0,Small,162456632,High,Enterprise
Cosmos-1,AI Labs,2024,v4.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,0,1,Open,Commercial,0,Medium,200220713,Low,Research
Nova-1,DeepMind,2024,v5.9,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,0,0,0,Closed,Research,1,Medium,9232223,Low,Open-Source
Neptune-8,Anthropic,2021,v4.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,1,1,API,Open,1,Medium,141424830,Medium,Research
Cosmos-8,Google AI,2025,v3.3,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,0,API,Research,0,Small,141002034,High,Open-Source
Nimbus-7,DeepMind,2020,v2.5,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,0,1,0,1,API,Open,1,Medium,263326452,High,Open-Source
Cosmos-8,Meta AI,2023,v2.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,0,0,Open,Open,0,Small,222401389,Low,Open-Source
Nova-2,Meta AI,2018,v2.8,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,1,API,Commercial,0,Small,286729400,High,Open-Source
Aurora-1,AI Labs,2022,v5.4,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,1,0,0,Open,Open,0,Small,104042738,High,Enterprise
Orion-6,DeepMind,2024,v1.5,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,0,0,Closed,Open,0,Large,18010490,Low,Open-Source
Helios-7,AI Labs,2025,v1.0,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,0,0,1,1,API,Commercial,0,Large,23844802,Low,Enterprise
Nimbus-8,DeepMind,2018,v1.4,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,0,1,0,Open,Open,0,Large,214833546,Low,Research
Atlas-4,NeuralWorks,2024,v5.5,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,0,0,1,Open,Research,1,Small,41811986,Medium,Enterprise
Nimbus-7,Baidu,2018,v3.7,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,0,1,1,Closed,Research,1,Small,159580651,Low,Open-Source
Neptune-2,DeepMind,2020,v4.2,"A open-source focused language model designed for text understanding, generation, and analysis tasks.",Open-Source,1,1,1,0,Open,Research,1,Medium,194229233,Medium,Open-Source
Atlas-2,Meta AI,2024,v4.8,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,0,0,0,Closed,Open,0,Large,175177204,Medium,Research
Orion-7,Cohere,2019,v5.3,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,0,1,0,0,Closed,Commercial,1,Medium,79348163,Low,Research
Helios-5,Cohere,2022,v4.1,"A research focused language model designed for text understanding, generation, and analysis tasks.",Research,1,1,0,1,API,Open,0,Medium,58430355,Low,Research
Aurora-7,Baidu,2024,v3.7,"A enterprise focused language model designed for text understanding, generation, and analysis tasks.",Enterprise,1,1,0,1,Closed,Open,0,Medium,169675864,Low,Enterprise
